"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"05710P","南亞科國票87售02","345,000","7","528,160","1.50","1.56","1.50","1.52","-","0.03","1.51","100","1.52","100","0.00",
"057113","文曄第一72購01","0","0","0","--","--","--","--"," ","0.00","0.28","10","0.29","10","45.15",
"057114","長榮航第一72購01","0","0","0","--","--","--","--"," ","0.00","0.02","20","0.09","5","15.95",
"05711P","嘉澤國票89售01","139,000","1","111,200","0.80","0.80","0.80","0.80","-","0.01","0.79","100","0.80","100","0.00",
"05712P","台灣50元大87售01","1,000","1","2,260","2.26","2.26","2.26","2.26","+","0.03","1.90","10","1.92","10","0.00",
"05713P","A50正2元大88售02","124,000","5","104,000","0.86","0.86","0.83","0.83","-","0.05","0.84","499","0.85","290","0.00",
"05714P","亞德客元大87售02","130,000","7","221,140","1.70","1.74","1.66","1.68","-","0.06","1.67","330","1.69","160","0.00",
"05715P","鴻海元大87售07","120,000","5","201,270","1.68","1.71","1.64","1.64","-","0.02","1.64","340","1.66","170","0.00",
"05716P","鴻海元大87售08","0","0","0","--","--","--","--"," ","0.00","3.14","10","3.17","10","0.00",
"05717P","國巨元大87售01","15,000","2","15,550","1.03","1.04","1.03","1.04","-","0.01","1.03","30","1.04","30","0.00",
"05718P","國巨元大87售02","435,000","19","438,730","0.98","1.03","0.98","1.00"," ","0.00","1.00","30","1.01","30","0.00",
"057195","T50反1兆豐72購01","0","0","0","--","--","--","--"," ","0.00","--","0","0.03","17","13.13",
"05719P","台積電元大87售05","212,000","5","164,690","0.82","0.82","0.77","0.77","-","0.05","0.77","100","0.78","100","0.00",
"05720P","大同元大87售10","589,000","29","799,380","1.32","1.39","1.30","1.30","-","0.02","1.28","100","1.29","100","0.00",
"05721P","聯發科元大87售04","1,411,000","15","2,316,080","1.62","1.67","1.62","1.65","+","0.05","1.63","100","1.64","100","0.00",
"05722P","可成元大87售14","95,000","2","126,590","1.33","1.35","1.33","1.35","-","0.01","1.33","100","1.34","100","0.00",
"05723P","大立光元大87售15","0","0","0","--","--","--","--"," ","0.00","0.89","10","0.90","10","0.00",
"05724P","大立光元大87售16","719,000","15","817,210","1.15","1.15","1.10","1.13","-","0.07","1.04","10","1.05","10","0.00",
"05725P","大立光元大87售17","523,000","13","155,480","0.26","0.31","0.26","0.30"," ","0.00","0.30","25","0.31","25","0.00",
"05726P","大立光元大87售18","10,000","1","7,800","0.78","0.78","0.78","0.78","-","0.06","0.82","25","0.83","25","0.00",
"05727P","創意元大87售05","317,000","2","164,840","0.52","0.52","0.52","0.52","X","0.00","0.48","25","0.49","25","0.00",
"05728P","瑞儀元大87售02","587,000","11","618,710","1.11","1.11","0.97","0.98","-","0.13","0.98","10","0.99","10","0.00",
"05729P","南電元大87售03","0","0","0","--","--","--","--"," ","0.00","0.90","10","0.92","10","0.00",
"05730P","台灣50中信8B售01","0","0","0","--","--","--","--"," ","0.00","2.95","99","2.96","99","0.00",
"05731P","滬深2X群益89售01","160,000","4","558,600","3.65","3.65","3.46","3.46","-","0.22","3.38","99","3.39","99","0.00",
"05732P","深中小群益88售01","0","0","0","--","--","--","--"," ","0.00","2.66","99","2.67","99","0.00",
"05733P","鴻海群益87售01","0","0","0","--","--","--","--"," ","0.00","1.71","99","1.72","99","0.00",
"05734P","大毅群益87售01","30,000","3","28,400","0.94","0.97","0.93","0.93","+","0.03","0.93","20","0.94","10","0.00",
"05735P","大立光群益87售04","837,000","16","678,410","0.79","0.84","0.78","0.80","+","0.04","0.80","50","0.83","12","0.00",
"05736P","大立光群益87售05","5,000","1","5,400","1.08","1.08","1.08","1.08","X","0.00","1.05","10","1.06","10","0.00",
"05737P","國巨國票87售02","41,000","3","57,460","1.46","1.46","1.38","1.38","X","0.00","1.34","10","1.35","10","0.00",
"05738P","義隆國票87售01","100,000","6","161,300","1.68","1.68","1.56","1.56","-","0.18","1.55","216","1.56","98","0.00",
"05739P","台積電兆豐87售02","0","0","0","--","--","--","--"," ","0.00","0.87","25","0.88","25","0.00",
"057402","燁輝第一73購01","0","0","0","--","--","--","--"," ","0.00","0.10","10","0.20","10","12.25",
"05740P","鴻海凱基87售02","0","0","0","--","--","--","--"," ","0.00","0.45","10","0.46","10","0.00",
"057414","兆赫元富73購01","0","0","0","--","--","--","--"," ","0.00","0.09","25","0.10","85","31.50",
"05741P","可成凱基87售03","68,000","3","109,400","1.67","1.67","1.58","1.58","-","0.14","1.56","25","1.57","25","0.00",
"05742P","可成凱基87售05","30,000","2","28,500","0.93","0.97","0.93","0.97","-","0.03","0.96","100","1.00","100","0.00",
"05743P","大立光凱基87售10","8,000","2","36,480","4.56","4.56","4.56","4.56","-","0.09","4.59","100","4.61","100","0.00",
"05744P","國巨永豐87售01","238,000","6","351,630","1.41","1.51","1.41","1.45","+","0.03","1.46","100","1.47","100","0.00",
"05745P","國巨統一87售09","0","0","0","--","--","--","--"," ","0.00","0.99","100","1.00","100","0.00",
"05746P","儒鴻元富87售01","187,000","5","268,110","1.43","1.44","1.43","1.44","-","0.01","1.44","100","1.46","100","0.00",
"057475","FH香港第一73購01","0","0","0","--","--","--","--"," ","0.00","0.05","99","--","0","21.72",
"05747P","嘉晶康和87售01","0","0","0","--","--","--","--"," ","0.00","1.02","499","1.03","499","0.00",
"05748P","台灣50國泰87售01","603,000","6","697,920","1.18","1.18","1.13","1.14","-","0.08","1.07","499","1.08","499","0.00",
"05749P","鴻海國泰87售01","12,000","2","20,320","1.71","1.71","1.69","1.69","-","0.21","1.68","499","1.69","489","0.00",
"05750P","鴻海國泰87售02","20,000","1","49,600","2.48","2.48","2.48","2.48","X","0.00","2.41","499","2.42","499","0.00",
"05751P","鴻海富邦88售02","0","0","0","--","--","--","--"," ","0.00","2.97","499","2.98","499","0.00",
"05752P","儒鴻元大87售06","208,000","6","784,440","3.90","3.90","3.72","3.75","-","0.29","3.66","499","3.67","499","0.00",
"05753P","國巨元大87售04","125,000","4","306,900","2.41","2.46","2.41","2.44","-","0.13","2.38","499","2.39","499","0.00",
"05754P","台積電元大87售08","20,000","7","68,940","3.52","3.52","3.36","3.36","-","0.22","3.35","499","3.36","497","0.00",
"05755P","大立光元大87售19","307,000","23","605,390","2.05","2.07","1.91","1.91","-","0.28","1.90","499","1.91","497","0.00",
"057567","FB臺反日盛73購01","0","0","0","--","--","--","--"," ","0.00","0.01","722","0.06","10","8.06",
"057568","FB臺反日盛73購02","101,000","3","2,110","0.02","0.11","0.02","0.11","+","0.10","0.01","524","0.02","200","8.06",
"05756P","大立光元大87售20","0","0","0","--","--","--","--"," ","0.00","1.85","30","1.88","30","0.00",
"05757P","智原元大88售01","0","0","0","--","--","--","--"," ","0.00","2.24","30","2.25","30","0.00",
