"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"066213","鈺齊元大73購01","0","0","0","--","--","--","--"," ","0.00","0.70","100","0.72","100","71.50",
"066214","臺股指元大73購20","0","0","0","--","--","--","--"," ","0.00","0.50","495","0.51","495","0.00",
"066215","元油2X統一74購01","1,000","1","2,290","2.29","2.29","2.29","2.29","+","0.05","2.28","208","2.30","10","20.18",
"066216","上銀統一73購02","476,000","9","357,280","0.77","0.77","0.70","0.75","-","0.04","0.74","108","0.75","108","320.00",
"066217","旺宏統一73購04","0","0","0","--","--","--","--"," ","0.00","0.23","10","0.26","10","43.60",
"066218","順德統一73購01","0","0","0","--","--","--","--"," ","0.00","1.15","20","1.18","10","86.00",
"066219","和碩統一73購01","0","0","0","--","--","--","--"," ","0.00","0.11","108","0.12","108","72.10",
"066220","T50反1元富73購01","0","0","0","--","--","--","--"," ","0.00","0.80","25","0.81","25","13.13",
"066221","上証2X元富73購02","4,000","2","25,800","6.45","6.45","6.45","6.45","X","0.00","6.55","25","6.60","25","51.85",
"066222","儒鴻元富73購01","304,000","14","145,510","0.49","0.52","0.45","0.46"," ","0.00","0.46","25","0.47","25","297.00",
"066223","為升元富73購01","0","0","0","--","--","--","--"," ","0.00","0.09","44","0.14","25","284.00",
"066224","鴻海元富73購02","100,000","2","3,000","0.03","0.03","0.03","0.03","-","0.01","0.03","25","0.04","15","95.00",
"066225","鴻海元富73購03","47,000","6","2,470","0.05","0.06","0.05","0.05","-","0.01","0.04","25","0.05","5","95.00",
"066226","華邦電元富73購04","15,000","2","5,550","0.36","0.39","0.36","0.39","-","0.01","0.40","25","0.41","25","23.85",
"066227","創意元富73購03","10,000","1","15,900","1.59","1.59","1.59","1.59","-","0.04","1.94","25","1.99","25","264.50",
"066228","鴻海國泰73購02","49,000","1","7,840","0.16","0.16","0.16","0.16"," ","0.00","0.14","10","0.15","10","95.00",
"066229","鴻海國泰73購03","0","0","0","--","--","--","--"," ","0.00","0.07","10","0.08","10","95.00",
"066230","鴻海國泰73購04","680,000","24","59,200","0.10","0.10","0.08","0.08","-","0.01","0.08","10","0.09","210","95.00",
"066231","旺宏國泰73購09","33,000","5","29,500","0.90","0.91","0.80","0.80","-","0.12","0.80","27","0.88","10","43.60",
"066232","可成國泰74購01","10,000","1","18,300","1.83","1.83","1.83","1.83","-","0.05","1.73","320","--","0","330.00",
"066233","華新科國泰73購01","52,000","3","128,480","2.44","2.48","2.44","2.48","X","0.00","2.46","499","2.52","40","101.50",
"066234","GIS富邦73購03","0","0","0","--","--","--","--"," ","0.00","0.03","10","0.12","49","198.50",
"066235","東陽中信73購01","0","0","0","--","--","--","--"," ","0.00","0.06","30","0.07","10","58.10",
"066236","可成中信73購01","17,000","1","26,350","1.55","1.55","1.55","1.55","-","0.11","1.57","30","1.61","10","330.00",
"066237","可成中信73購02","82,000","3","123,880","1.54","1.54","1.47","1.47","-","0.04","1.46","30","1.50","10","330.00",
"066238","聯鈞中信74購01","66,000","8","103,450","1.45","1.75","1.44","1.75","+","0.25","1.65","30","1.75","9","133.00",
"066239","矽力中信74購01","133,000","2","71,820","0.54","0.54","0.54","0.54","+","0.06","0.52","30","0.54","10","687.00",
"066240","綠悅台新73購01","221,000","6","33,130","0.15","0.21","0.14","0.21","+","0.05","0.18","100","0.19","20","0.00",
"066241","華新科台新73購01","70,000","7","138,700","1.96","2.09","1.92","1.92","-","0.31","1.87","20","1.96","10","0.00",
"066242","台勝科台新73購01","35,000","3","5,350","0.16","0.16","0.15","0.15","-","0.06","0.15","10","0.16","10","0.00",
"066243","景碩永豐73購01","0","0","0","--","--","--","--"," ","0.00","--","0","0.02","10","54.80",
"066244","京鼎永豐73購04","201,000","4","86,430","0.43","0.43","0.43","0.43","+","0.02","0.39","10","0.40","10","207.00",
"066245","台勝科永豐73購01","5,000","1","850","0.17","0.17","0.17","0.17","-","0.02","0.15","10","0.16","10","92.70",
"066246","中租永豐73購02","267,000","29","294,480","1.03","1.20","0.99","1.13","+","0.10","1.12","10","1.13","5","87.60",
"066247","上銀群益75購02","410,000","10","1,018,260","2.53","2.55","2.41","2.51","-","0.26","2.53","25","2.54","10","320.00",
"066248","華通群益73購03","345,000","8","343,310","0.93","1.18","0.93","1.18","+","0.20","1.16","25","1.17","10","40.00",
"066249","台積電群益74購05","559,000","11","599,930","1.02","1.14","1.02","1.12","+","0.24","1.09","25","1.10","10","232.50",
"066250","長榮群益73購05","192,000","6","96,920","0.39","0.56","0.39","0.56","X","0.00","0.56","25","--","0","17.95",
"066251","欣興群益74購01","51,000","3","24,160","0.48","0.53","0.47","0.53","+","0.07","0.53","25","0.63","15","16.80",
"066252","台勝科群益73購04","100,000","2","18,500","0.19","0.19","0.18","0.18","-","0.06","0.18","25","0.19","10","92.70",
"066253","臻鼎群益73購04","200,000","3","168,000","0.83","0.85","0.83","0.85","+","0.05","0.88","25","0.89","10","66.30",
"066254","超眾群益73購01","0","0","0","--","--","--","--"," ","0.00","0.52","25","0.53","10","99.00",
"066255","南亞科兆豐73購02","0","0","0","--","--","--","--"," ","0.00","0.26","10","0.27","10","78.00",
"066256","南亞科兆豐75購01","320,000","5","80,000","0.25","0.25","0.25","0.25","+","0.05","0.24","10","0.25","10","78.00",
"066257","聯發科兆豐75購02","0","0","0","--","--","--","--"," ","0.00","0.58","10","0.63","10","291.50",
"066258","聯發科兆豐75購03","102,000","7","28,170","0.27","0.29","0.27","0.29","-","0.02","0.28","10","0.29","9","291.50",
"066259","可成兆豐73購03","183,000","4","131,590","0.70","0.75","0.67","0.75","+","0.02","0.71","10","0.72","10","330.00",
"066260","可成兆豐73購04","383,000","8","220,850","0.56","0.61","0.53","0.58","-","0.06","0.60","10","0.61","10","330.00",
"066261","敦泰兆豐74購01","0","0","0","--","--","--","--"," ","0.00","0.16","10","0.17","10","31.25",
"066262","力成兆豐74購02","77,000","13","35,390","0.45","0.49","0.45","0.46","-","0.02","0.46","10","0.48","19","87.80",
"066263","A50正2元大73購03","100,000","2","140,400","1.39","1.46","1.39","1.46","+","0.13","1.50","100","1.51","100","38.24",
"066264","國喬元大73購02","2,000","1","5,920","2.96","2.96","2.96","2.96","-","0.13","2.88","100","2.98","10","30.80",
"066265","鴻海元大73購03","140,000","2","33,300","0.24","0.24","0.23","0.23","-","0.01","0.23","100","0.24","160","95.00",
"066266","鴻海元大73購04","52,000","2","9,320","0.18","0.18","0.16","0.16","-","0.03","0.16","100","0.17","100","95.00",
"066267","鴻準元大73購02","20,000","3","12,250","0.60","0.63","0.60","0.63","-","0.01","0.63","100","0.64","100","85.00",
"066268","鴻準元大73購03","0","0","0","--","--","--","--"," ","0.00","0.21","100","0.22","100","85.00",
"066269","南亞科元大73購03","150,000","3","67,500","0.41","0.47","0.41","0.47","+","0.04","0.47","100","0.48","100","78.00",
"066270","美律元大73購03","522,000","10","193,400","0.38","0.40","0.32","0.38"," ","0.00","0.38","100","0.39","100","197.00",
"066271","可成元大73購09","52,000","6","59,720","1.10","1.22","1.04","1.17","+","0.01","1.14","100","1.19","10","330.00",
"066272","可成元大73購11","0","0","0","--","--","--","--"," ","0.00","1.49","100","1.56","10","330.00",
"066273","高鐵元大73購01","210,000","3","93,600","0.43","0.46","0.43","0.46","X","0.00","0.44","100","0.45","100","23.65",
"066274","貿聯元大74購01","158,000","6","91,440","0.56","0.59","0.56","0.59"," ","0.00","0.58","100","0.59","98","282.00",
"066275","超眾元大73購02","202,000","6","118,140","0.62","0.62","0.56","0.56","X","0.00","0.55","100","0.56","90","99.00",
"066276","超眾元大73購03","161,000","3","114,130","0.68","0.71","0.68","0.71","+","0.04","0.69","100","0.70","100","99.00",
"066277","中鋼凱基73購01","220,000","3","141,000","0.65","0.65","0.64","0.64","-","0.03","0.64","30","0.65","30","24.70",
"066278","劍麟凱基73購01","21,000","2","4,980","0.24","0.24","0.23","0.23","X","0.00","0.22","30","0.24","30","115.50",
"066279","鴻海凱基73購09","0","0","0","--","--","--","--"," ","0.00","0.28","30","0.29","30","95.00",
"066280","鴻海凱基73購10","503,000","15","227,710","0.49","0.49","0.43","0.44","-","0.02","0.44","170","0.55","3","95.00",
"066281","興勤凱基73購01","84,000","3","32,760","0.39","0.39","0.39","0.39","X","0.00","0.40","30","0.41","30","85.00",
"066282","奇力新凱基73購01","854,000","27","1,018,980","1.21","1.28","1.15","1.28","+","0.16","1.25","30","1.28","30","101.00",
"066283","台勝科凱基75購01","560,000","9","253,450","0.46","0.46","0.40","0.40","-","0.08","0.39","30","0.40","20","92.70",
"066284","華邦電日盛73購03","65,000","3","9,750","0.15","0.15","0.15","0.15"," ","0.00","0.16","25","0.17","25","23.85",
"066285","富邦金日盛74購01","5,000","1","9,250","1.85","1.85","1.85","1.85","+","0.02","1.82","499","1.85","100","51.00",
"066286","華新宏遠73購01","5,000","1","9,150","1.83","1.83","1.83","1.83","+","0.22","1.77","16","1.84","10","18.00",
"066287","友達宏遠73購01","90,000","2","25,200","0.28","0.28","0.28","0.28","X","0.00","0.27","16","0.28","16","12.35",
"066288","台郡國泰73購01","1,237,000","35","485,280","0.33","0.46","0.31","0.46","+","0.12","0.44","489","0.46","50","111.00",
"066289","台郡國泰73購02","55,000","6","12,950","0.21","0.25","0.21","0.23","+","0.02","0.24","529","0.25","10","111.00",
"066290","臻鼎富邦73購01","0","0","0","--","--","--","--"," ","0.00","0.59","10","0.65","10","66.30",
"066291","華邦電永昌74購01","0","0","0","--","--","--","--"," ","0.00","0.75","11","0.85","10","0.00",
"066292","聯發科永昌73購06","0","0","0","--","--","--","--"," ","0.00","0.82","10","0.92","10","0.00",
"066293","可成永昌73購05","0","0","0","--","--","--","--"," ","0.00","1.40","10","1.50","10","0.00",
"066294","臺指反中信79購01","533,000","9","773,290","1.48","1.48","1.45","1.45","-","0.05","1.44","99","1.45","89","14.86",
"066295","華通中信75購01","44,000","9","39,470","0.77","1.04","0.77","1.04","+","0.33","0.98","30","1.01","10","40.00",
"066296","鴻海中信73購01","90,000","8","6,600","0.08","0.08","0.07","0.07","-","0.02","0.07","55","0.08","165","95.00",
"066297","廣宇中信75購01","0","0","0","--","--","--","--"," ","0.00","0.57","30","0.59","30","25.25",
"066298","儒鴻台新74購01","200,000","20","26,000","0.13","0.13","0.13","0.13","X","0.00","0.13","100","0.14","10","0.00",
"066299","台積電台新73購01","170,000","5","101,200","0.55","0.61","0.55","0.60","+","0.15","0.59","1","0.63","10","0.00",
"066300","中壽台新74購01","227,000","5","143,750","0.61","0.65","0.61","0.65","+","0.03","0.64","20","0.66","20","0.00",
"066301","和碩台新73購01","0","0","0","--","--","--","--"," ","0.00","0.28","10","0.29","10","0.00",
"066302","鴻海永豐73購02","0","0","0","--","--","--","--"," ","0.00","0.01","505","0.03","10","95.00",
"066303","順德永豐73購03","57,000","2","30,230","0.53","0.55","0.53","0.55","+","0.03","0.53","10","0.54","10","86.00",
"066304","南亞科永豐73購02","406,000","3","80,960","0.16","0.20","0.16","0.20","+","0.04","0.19","10","0.20","10","78.00",
"066305","可成永豐73購03","150,000","2","127,500","0.85","0.85","0.85","0.85","-","0.02","0.81","10","0.82","10","330.00",
"066306","晶豪科永豐73購03","0","0","0","--","--","--","--"," ","0.00","0.39","10","0.40","10","42.40",
"066307","禾伸堂永豐73購01","5,000","1","40,000","8.00","8.00","8.00","8.00","+","0.25","7.50","10","8.00","5","112.00",
"066308","京鼎永豐74購01","200,000","2","87,000","0.43","0.44","0.43","0.44","+","0.01","0.40","10","0.41","10","207.00",
"066309","臻鼎永豐73購02","60,000","2","34,300","0.57","0.58","0.57","0.58","+","0.03","0.59","10","0.60","10","66.30",
"066310","台郡永豐73購04","0","0","0","--","--","--","--"," ","0.00","0.17","10","0.18","10","111.00",
"066311","東陽元富73購02","0","0","0","--","--","--","--"," ","0.00","0.24","25","0.25","25","58.10",
"066312","華新元富73購01","0","0","0","--","--","--","--"," ","0.00","3.03","25","3.13","10","18.00",
"066313","榮成元富73購03","0","0","0","--","--","--","--"," ","0.00","0.52","25","0.53","25","41.45",
"066314","鴻海元富73購04","0","0","0","--","--","--","--"," ","0.00","0.04","25","0.05","10","95.00",
"066315","可成元富73購03","238,000","11","257,140","0.96","1.20","0.96","1.08","-","0.04","1.07","25","1.08","24","330.00",
"066316","可成元富73購04","381,000","15","488,830","1.22","1.31","1.18","1.24","+","0.01","1.24","25","1.26","25","330.00",
"066317","農林元富76購01","120,000","7","76,500","0.63","0.65","0.63","0.64","-","0.01","0.62","55","0.66","25","15.45",
"066318","隆達元富73購01","0","0","0","--","--","--","--"," ","0.00","3.44","25","3.49","10","26.40",
"066319","矽力元富76購01","47,000","1","29,140","0.62","0.62","0.62","0.62","+","0.03","0.61","25","0.65","25","687.00",
"066320","台勝科統一73購03","84,000","2","19,220","0.23","0.23","0.22","0.22","-","0.03","0.19","10","0.20","10","92.70",
"066321","國巨元大74購01","70,000","2","278,600","3.98","3.98","3.98","3.98","-","0.26","4.10","100","4.15","10","354.00",
"066322","旺宏元大73購09","130,000","3","31,200","0.24","0.24","0.24","0.24","-","0.01","0.20","100","0.24","100","43.60",
"066323","華邦電元大73購09","160,000","2","25,600","0.16","0.16","0.16","0.16","X","0.00","0.16","100","0.17","100","23.85",
"066324","智邦元大74購01","1,881,000","42","2,817,330","1.24","1.62","1.21","1.62","+","0.34","1.59","150","1.62","122","111.50",
"066325","順德元大73購02","391,000","9","407,300","1.03","1.10","1.01","1.08","+","0.06","1.06","100","1.08","70","86.00",
"066326","明泰元大73購03","239,000","6","174,490","0.69","0.74","0.69","0.72","+","0.03","0.73","100","0.74","100","24.15",
"066327","GIS元大73購09","0","0","0","--","--","--","--"," ","0.00","0.03","100","0.04","100","198.50",
"066328","麗豐中信74購01","40,000","4","82,200","2.05","2.09","2.03","2.03","+","0.09","2.02","30","2.12","10","149.00",
"066329","長榮台新74購01","65,000","7","21,060","0.26","0.42","0.26","0.38","+","0.20","0.33","20","--","0","0.00",
"066330","台郡台新73購03","10,000","1","3,200","0.32","0.32","0.32","0.32","X","0.00","0.31","10","0.54","240","0.00",
"066331","綠悅永豐73購02","333,000","3","109,890","0.32","0.35","0.32","0.35","+","0.03","0.32","10","0.33","10","65.20",
"066332","鴻準永豐73購01","10,000","1","3,400","0.34","0.34","0.34","0.34"," ","0.00","0.34","10","0.35","10","85.00",
"066333","美律永豐73購03","125,000","1","43,750","0.35","0.35","0.35","0.35","X","0.00","0.35","10","0.36","10","197.00",
"066334","明泰永豐73購02","32,000","4","10,520","0.31","0.33","0.31","0.33","+","0.02","0.32","10","0.33","10","24.15",
"066335","致伸永豐73購02","30,000","3","60,000","1.79","2.16","1.79","2.16","X","0.00","2.10","10","2.13","10","82.60",
"066336","康控永豐73購01","0","0","0","--","--","--","--"," ","0.00","--","0","2.16","10","320.00",
"066337","彩晶永豐73購03","0","0","0","--","--","--","--"," ","0.00","0.20","10","0.21","10","10.05",
"066338","東陽群益73購02","10,000","1","3,700","0.37","0.37","0.37","0.37","+","0.02","0.35","25","0.36","10","58.10",
"066339","鴻海群益73購10","15,000","2","10,200","0.69","0.69","0.66","0.66","-","0.05","0.66","25","0.67","10","95.00",
"066340","智邦群益74購03","105,000","2","184,000","1.74","2.00","1.74","2.00","+","0.32","1.93","25","2.03","10","111.50",
"066341","智邦群益74購04","657,000","21","1,103,130","1.58","2.06","1.55","2.06","+","0.36","1.98","25","2.02","10","111.50",
"066342","順德群益73購01","613,000","12","775,910","1.24","1.30","1.24","1.29","+","0.17","1.27","25","1.29","10","86.00",
"066343","南亞科群益73購09","40,000","2","20,800","0.50","0.54","0.50","0.54","+","0.20","0.48","25","0.49","10","78.00",
"066344","景碩群益73購02","0","0","0","--","--","--","--"," ","0.00","0.02","25","0.11","90","54.80",
"066345","台勝科群益73購05","5,000","1","800","0.16","0.16","0.16","0.16","X","0.00","0.15","25","0.16","10","92.70",
"066346","樺漢群益73購02","423,000","5","394,950","0.94","0.95","0.93","0.95","-","0.07","0.93","30","0.94","10","444.00",
"066347","滬深2X統一73購01","8,000","4","20,460","2.52","2.59","2.52","2.59","+","0.10","2.94","10","2.99","10","19.69",
"066348","鴻海統一73購10","0","0","0","--","--","--","--"," ","0.00","0.08","20","0.10","10","95.00",
"066349","鴻準統一73購01","11,000","1","2,090","0.19","0.19","0.19","0.19","-","0.04","0.20","10","0.21","10","85.00",
"066350","廣達統一73購01","0","0","0","--","--","--","--"," ","0.00","0.08","108","0.10","10","61.90",
"066351","南亞科統一74購02","1,213,000","21","424,620","0.31","0.37","0.31","0.36","+","0.05","0.35","10","0.36","8","78.00",
"066352","可成統一73購04","0","0","0","--","--","--","--"," ","0.00","0.86","10","0.89","10","330.00",
"066353","可成統一73購05","20,000","2","24,800","1.22","1.26","1.22","1.26"," ","0.00","1.18","216","1.20","10","330.00",
"066354","台化元富73購01","977,000","54","1,519,840","1.68","1.68","1.48","1.61","+","0.01","1.57","30","1.61","24","103.50",
"066355","廣達元富75購01","0","0","0","--","--","--","--"," ","0.00","0.09","25","0.12","10","61.90",
"066356","宏達電元富73購05","8,000","1","2,160","0.27","0.27","0.27","0.27","X","0.00","0.26","25","0.27","25","73.90",
"066357","宏達電元富73購06","0","0","0","--","--","--","--"," ","0.00","0.14","25","0.15","25","73.90",
"066358","長榮元富75購01","274,000","7","72,630","0.21","0.29","0.21","0.29","+","0.12","0.29","25","0.75","50","17.95",
"066359","中信金元富75購01","835,000","16","552,170","0.67","0.67","0.65","0.67","+","0.01","0.67","47","0.68","26","20.45",
"066360","貿聯元富73購03","46,000","5","27,530","0.62","0.62","0.59","0.62","-","0.05","0.63","25","0.64","25","282.00",
"066361","台郡元富73購01","0","0","0","--","--","--","--"," ","0.00","0.20","25","0.21","25","111.00",
"066362","台郡元富73購02","2,187,000","34","979,730","0.38","0.52","0.36","0.50","+","0.10","0.50","25","0.52","25","111.00",
"066363","儒鴻兆豐74購02","0","0","0","--","--","--","--"," ","0.00","0.06","10","0.14","10","297.00",
"066364","榮成兆豐73購02","0","0","0","--","--","--","--"," ","0.00","0.13","10","0.14","10","41.45",
"066365","劍麟兆豐73購01","90,000","5","27,100","0.31","0.31","0.30","0.30","-","0.04","0.29","10","0.31","10","115.50",
"066366","仁寶兆豐73購01","320,000","2","70,400","0.22","0.22","0.22","0.22","X","0.00","0.18","10","0.19","10","21.10",
"066367","新光金兆豐79購01","10,000","1","11,100","1.11","1.11","1.11","1.11","+","0.04","1.10","10","1.11","15","10.50",
"066368","景碩兆豐73購02","0","0","0","--","--","--","--"," ","0.00","--","0","0.02","344","54.80",
"066369","群創兆豐73購03","33,000","3","1,980","0.06","0.06","0.06","0.06"," ","0.00","0.06","27","0.10","70","12.45",
"066370","台勝科兆豐74購03","70,000","6","9,600","0.15","0.15","0.13","0.13","-","0.02","0.11","100","0.13","10","92.70",
"066371","和碩兆豐73購01","0","0","0","--","--","--","--"," ","0.00","0.14","10","0.15","10","72.10",
"066372","中磊兆豐73購01","241,000","13","199,310","0.78","0.87","0.78","0.85","+","0.02","0.84","10","0.98","10","85.30",
"066373","樺漢兆豐73購01","0","0","0","--","--","--","--"," ","0.00","0.79","10","0.80","10","444.00",
"066374","訊芯兆豐74購01","0","0","0","--","--","--","--"," ","0.00","1.91","10","2.00","10","139.00",
"066375","GIS兆豐74購04","0","0","0","--","--","--","--"," ","0.00","0.03","10","0.04","10","198.50",
"066376","南茂兆豐74購01","0","0","0","--","--","--","--"," ","0.00","0.18","10","0.25","10","26.40",
"066377","元油反日盛73購01","0","0","0","--","--","--","--"," ","0.00","0.14","499","0.15","300","16.82",
"066378","統一日盛73購01","973,000","25","880,480","0.83","1.00","0.83","0.97","+","0.22","0.96","100","1.06","10","67.20",
"066379","聯電亞東73購01","70,000","2","12,800","0.18","0.19","0.18","0.19","-","0.05","0.20","10","0.21","10","14.25",
"066380","聯發科亞東73購01","0","0","0","--","--","--","--"," ","0.00","0.40","10","0.41","10","291.50",
"066381","可成亞東73購01","214,000","13","188,620","0.84","0.98","0.83","0.98"," ","0.00","0.91","10","0.92","10","330.00",
"066382","群創亞東73購01","0","0","0","--","--","--","--"," ","0.00","0.10","10","0.11","10","12.45",
"066383","新日興凱基73購01","0","0","0","--","--","--","--"," ","0.00","0.36","60","0.37","60","78.70",
"066384","和碩凱基73購03","10,000","1","3,000","0.30","0.30","0.30","0.30"," ","0.00","0.29","30","0.30","30","72.10",
"066385","超眾凱基73購01","0","0","0","--","--","--","--"," ","0.00","1.10","30","1.11","10","99.00",
"066386","超眾凱基73購02","0","0","0","--","--","--","--"," ","0.00","0.59","30","0.69","30","99.00",
"066387","綠悅國泰73購01","712,000","13","283,900","0.36","0.45","0.34","0.40","+","0.01","0.38","100","0.39","100","65.20",
"066388","美律國泰73購05","1,276,000","25","803,360","0.63","0.67","0.57","0.64","-","0.07","0.64","499","0.65","10","197.00",
"066389","可成國泰75購01","40,000","3","67,400","1.70","1.70","1.68","1.68","-","0.03","1.63","340","1.65","10","330.00",
"066390","超眾富邦73購01","10,000","1","8,200","0.82","0.82","0.82","0.82","+","0.12","0.75","10","0.78","20","99.00",
"066391","東陽兆豐74購01","20,000","2","3,300","0.17","0.17","0.16","0.16","+","0.01","0.15","10","0.16","10","58.10",
"066392","旺宏兆豐74購01","10,000","1","4,900","0.49","0.49","0.49","0.49","+","0.01","0.44","10","0.53","10","43.60",
"066393","華邦電兆豐73購03","0","0","0","--","--","--","--"," ","0.00","0.20","10","0.29","10","23.85",
"066394","友達兆豐74購02","82,000","7","47,160","0.58","0.58","0.57","0.58","-","0.02","0.56","13","0.58","10","12.35",
"066395","卜蜂群益73購02","1,696,000","26","1,421,760","0.85","0.86","0.82","0.85","+","0.02","0.84","25","0.85","10","64.70",
"066396","鑽全群益73購02","0","0","0","--","--","--","--"," ","0.00","0.15","25","0.16","10","65.50",
"066397","鴻海群益73購12","0","0","0","--","--","--","--"," ","0.00","0.16","25","0.17","10","95.00",
"066398","鴻準群益74購02","0","0","0","--","--","--","--"," ","0.00","0.36","25","0.37","10","85.00",
"066399","瑞昱群益73購03","10,000","1","5,200","0.52","0.52","0.52","0.52","-","0.01","0.51","25","0.52","10","109.00",
"066400","景碩群益73購03","0","0","0","--","--","--","--"," ","0.00","0.15","25","0.23","10","54.80",
"066401","南茂群益73購01","200,000","4","69,500","0.35","0.35","0.34","0.35","-","0.04","0.35","25","0.36","10","26.40",
"066402","敬鵬日盛73購01","77,000","1","62,370","0.81","0.81","0.81","0.81","+","0.03","0.78","549","0.80","200","57.70",
"066403","南亞科日盛73購01","215,000","4","165,950","0.76","0.87","0.72","0.87","+","0.21","0.84","499","0.85","100","78.00",
"066404","鴻準統一73購02","421,000","4","220,940","0.54","0.54","0.50","0.50","-","0.05","0.53","108","0.54","108","85.00",
"066405","景碩統一73購03","0","0","0","--","--","--","--"," ","0.00","0.05","108","0.10","10","54.80",
"066406","緯創統一73購02","449,000","19","227,760","0.53","0.53","0.47","0.49","-","0.03","0.47","216","0.48","108","23.80",
"066407","明泰統一73購01","120,000","15","75,460","0.59","0.66","0.59","0.65","+","0.04","0.62","216","0.63","10","24.15",
"066408","和大元富73購04","9,000","1","4,230","0.47","0.47","0.47","0.47","-","0.02","0.45","25","0.46","25","145.50",
"066409","廣宇元富73購02","0","0","0","--","--","--","--"," ","0.00","0.23","25","0.24","25","25.25",
"066410","利勤元富76購01","0","0","0","--","--","--","--"," ","0.00","0.11","25","0.12","25","48.35",
"066411","華夏元大73購01","1,281,000","49","1,130,270","0.85","0.94","0.81","0.89","+","0.05","0.90","100","0.91","153","32.95",
"066412","燁輝元大73購01","547,000","18","579,110","1.05","1.13","1.01","1.01","+","0.02","1.01","109","1.05","100","12.25",
"066413","微星元大73購03","446,000","21","970,310","2.19","2.50","2.11","2.50","+","0.35","2.48","100","2.50","3","79.90",
"066414","高鐵元大73購02","461,000","10","239,150","0.51","0.54","0.51","0.51","-","0.01","0.51","100","0.52","100","23.65",
"066415","王品元大73購01","679,000","8","126,510","0.18","0.19","0.18","0.19","-","0.01","0.18","100","0.19","100","135.00",
"066416","台勝科元大73購02","0","0","0","--","--","--","--"," ","0.00","0.19","100","0.20","100","92.70",
"066417","臻鼎元大73購03","1,237,000","35","1,175,650","0.85","0.98","0.85","0.97","+","0.06","0.97","100","0.98","100","66.30",
"066418","敦南元大73購02","0","0","0","--","--","--","--"," ","0.00","2.17","100","2.21","10","43.80",
"066419","矽創元大73購01","489,000","7","255,440","0.51","0.53","0.51","0.52","+","0.05","0.53","110","0.54","100","84.70",
"066420","為升凱基73購01","536,000","13","200,450","0.35","0.40","0.35","0.40","+","0.10","0.39","40","0.40","30","284.00",
"066421","可成凱基75購06","133,000","8","245,160","1.81","1.93","1.78","1.87","-","0.03","1.84","30","1.86","30","330.00",
"066422","欣興凱基73購01","903,000","15","407,480","0.41","0.48","0.41","0.48","+","0.09","0.48","30","0.50","30","16.80",
"066423","景碩凱基73購03","0","0","0","--","--","--","--"," ","0.00","0.05","30","0.10","30","54.80",
"066424","健策凱基73購01","0","0","0","--","--","--","--"," ","0.00","0.22","30","0.23","30","68.00",
"066425","TPK凱基73購04","756,000","13","165,660","0.21","0.24","0.20","0.23","+","0.01","0.22","33","0.23","30","83.70",
"066426","華邦電永昌74購02","280,000","2","101,600","0.32","0.37","0.32","0.37","X","0.00","0.39","32","0.49","32","0.00",
"066427","友達永昌75購01","60,000","3","19,400","0.32","0.33","0.32","0.32","-","0.02","0.31","10","0.32","10","0.00",
"066428","台勝科中信73購02","400,000","36","18,300","0.05","0.07","0.04","0.06","-","0.01","0.03","300","0.04","10","92.70",
"066429","康控中信73購01","11,000","2","29,980","2.78","2.78","2.72","2.72","-","1.17","2.52","13","2.78","10","320.00",
"066430","可成台新73購02","50,000","1","70,500","1.41","1.41","1.41","1.41","-","0.01","1.37","10","1.41","10","0.00",
"066431","臻鼎台新74購01","0","0","0","--","--","--","--"," ","0.00","0.87","10","0.97","10","0.00",
"066432","全新永豐73購02","0","0","0","--","--","--","--"," ","0.00","4.21","10","4.31","10","95.00",
"066433","宏達電永豐73購02","0","0","0","--","--","--","--"," ","0.00","0.37","10","0.38","10","73.90",
"066434","緯創永豐73購01","150,000","5","90,900","0.62","0.62","0.54","0.55","-","0.02","0.53","10","0.54","10","23.80",
"066435","超眾永豐73購01","62,000","2","28,020","0.46","0.46","0.45","0.45","+","0.02","0.43","10","0.44","10","99.00",
"066436","GIS永豐73購06","0","0","0","--","--","--","--"," ","0.00","0.02","10","0.03","10","198.50",
"066437","瑞昱國泰74購01","0","0","0","--","--","--","--"," ","0.00","1.05","10","1.07","10","109.00",
"066438","宏達電國泰73購01","116,000","5","37,280","0.33","0.34","0.32","0.34","+","0.04","0.31","499","0.32","50","73.90",
"066439","宏達電國泰73購02","588,000","6","261,460","0.42","0.45","0.42","0.45","+","0.03","0.43","499","0.44","290","73.90",
"066440","景碩國泰74購02","25,000","3","2,850","0.11","0.13","0.11","0.13","+","0.02","0.11","10","0.12","10","54.80",
"066441","緯創國泰73購01","580,000","7","238,400","0.45","0.45","0.39","0.39","-","0.02","0.38","499","0.39","290","23.80",
"066442","啟碁國泰74購01","30,000","1","24,000","0.80","0.80","0.80","0.80","-","0.01","0.80","10","0.81","10","85.60",
"066443","可成富邦73購02","48,000","1","90,240","1.88","1.88","1.88","1.88","+","0.06","1.79","30","1.85","10","330.00",
"066444","可成富邦73購03","87,000","4","130,200","1.49","1.50","1.47","1.47","X","0.00","1.42","30","1.47","10","330.00",
"066445","宏達電富邦75購01","0","0","0","--","--","--","--"," ","0.00","0.52","10","0.53","10","73.90",
